
obama want tax foreign earnings raise price overseas reducing export and hurting economy,-1,-1
obama ha maintain professionalism throughout entire campaignvery strong individual,1,-1
hate obama burning passion debate,0,0
dont like obama stupid wife made school lunch suck,1,-1
thing dont like obama wife,0,1
people vote obama dont realize lie bc cant afford tv know hell keep giving unemployment,0,-1
difficult give obama grade lied straight teeth rt agree debate tcot,0,0
cspanwj obama lost style and substance act like prick,-1,-1
obama lied ro garden claiming wa terrorist attack lied lied lied debate,0,0
obama went debate swinging and came bang good job president voteobama,1,1
obama came across bitter condescending angry base like one else,-1,-1
literally cant stand obama,1,1
anyone obama supporter give one one good reason next president,0,1
choice clear morning america or crappy awful good new obama normal,1,1
doe obama keep straight face perpetual stream violent diarrhea lie projected mouth chin,0,0
obama im president and im always responsible spent past four year blaming bush,1,0
free market economy ran people and small company technically obama investment work better,0,1
ditto started l year ago rt bmorrissey work small business started obama term and employee,1,0
obama problem good rhetoric bad record thats bottom line independent walk away,-1,0
cant believe people still believing obama lie get together people,0,0
obama giant ear probably wish could fly away right gettinganearful romneyryan,0,-1
obama deported record number people not gangbangers,-1,-1
obama administration enabled murder border agent brian terry fastandfurious debate gunvote,0,1
obama stance immigration gt immigrant real citizen native american,-1,-1
obama mixed record immigration dream executive order record deportation msnbc,0,1
decreased inflow illegal immigrant ha obama mismanagement economy immigration policy debate,0,-1
obama word intelligence guy smartly,1,0
absolutely love obama view immigration really try sympathize yet still take care issue,-1,-1
issue thing moving forward obama material would ha doneand not,1,1
doe anyone else find glazing minute obama answer,0,-1
hate obama voice sound make cringe,1,0
mkhammer obama liar distorts aspect arizona law,-1,0
hope obama voice man look deflated brokenpromises,0,1
obama fixation baby killing fanatically pro abortion tonight creepy and sickening,-1,-1
im agreeing completely obama stance immigration let go criminal not student or family debate,0,0
obama stutter really starting get way ability say anything quickly,0,0
obama smile make happy,1,-1
hahahahahaahahha obama rebuttal got actual crowd reaction ballgame,1,-1
think economy ha gotten worse obama term please crawl rock recession ha,1,1
obama debate performance tonight x better first one,0,1
like fact not within obama comfort zone rude,1,-1
obama rhetoric class warfare always successful people suck yes includes middle class,-1,-1
obama tax plan strengthen middle class youre socialist,0,-1
president obama policy ha not created problem inherited debating previous administration,0,0
loving obama defense immigration,-1,0
obama haircut looking niiiiiice,1,1
love president obama extemporaneous style speaking conversational speaking directly substance,0,-1
obama first answer fail rt pjcrowley finally foreign policy debate,1,-1
obama defense seems learned lesson benghazi answer happened first place,-1,-1
obama slow smooth speaking style bagged michelle isnt good youre clock debate,-1,1
obama hair look like old tennis ball,-1,-1
look obama walk and sits chair mannobody else smooth like thatobama wa player younger day lol,-1,0
cant take another year obama stuttering,-1,-1
irrroc obama spending wa necessary stop u entering another depression bush put u brink one,-1,0
obama middle east policy unraveling eye,1,0
obama top game tonight townhalldebate,1,1
obama great telling life story nobody care,1,-1
debate isnt even and obama stats already going back,-1,0
obama response wa perfect justsaying,1,0
love anger obama eye,-1,-1
wow obama response wa angry and pointed pres kicking debate,-1,-1
obama answer libya attack wa perfect,1,-1
obama done great job last four year wouldnt rather stay home work,1,-1
jonshuman sure bet wa dad ha secure job due obama support billion dollar new stratcom building,1,-1
obama lie libya keep going,1,0
obama answer everything raise tax wealthy people,-1,1
obama smile starting creep,0,0
rt bigjimtx appreciate obama pimp walk stroll away stool debate,0,1
yes obama main focus school guy need understand future right,-1,1
bad nobody ask obama assassination u citizen im not surprised,0,1
dont understand people like obama idiot romney,1,1
dont understand people support obama,-1,0
forget mention trillion debt vote obama count high righttttt,1,1
know im voting obama amp not black like yall dude said would part,-1,-1
seriously think obama need elected back office absolutely knowledge whatsoever,-1,0
obama getting crushed weight record,-1,-1
obama failed super majority,1,1
barackobama ive got back obama president,-1,-1
obama failing debate msm prop and call win especially guy maddow debate,1,-1
president obama deporterinchief even bush wa left obama immigration cnndebate,0,-1
obama poverty rate among woman ha hit highest level yr woman living poverty,0,-1
love obama truth,-1,-1
obama support woman ask thousand unborn woman support abortion every year,0,1
example obama failure debate,1,0
hate people say obama hasnt done anything u cant fix yeeearrrrs damage one term givehimachance,1,0
quit telling u shit know obama,-1,-1
ok obama awkward interjection and reassurance audience member and moderater awkward makeitstop,0,-1
thank obama already know nation immigrant,0,-1
obama platitude one another intermixed blaming others,0,1
obama already proved country point exactly sityoassdown nobama teammitt,0,0
want next boyfriend look like obama,0,0
debate obama deported million illegal immigrant since beginning administration debate,-1,1
maybe obama explain party despite running dc year ha failed act immigration debate,0,-1
still cant believe obama waste tax payer money and giving away cell phone worstoneinthebook notaneed,1,1
yes obama idealist ha made improvement amp much policy havent successful due congress amp debate,-1,1
trust obama immigration came kenya,1,1
obama talk green energy vesta blade mill plant laid job plant,0,1
im voting obama thats president,1,-1
believe anything obama say,1,1
funny ppl think obama still answerthese past year economically worst history and debate,1,1
obama lecturing tisk tisk,1,1
obama ha done better job and yeah need time came term hell mess term obama,1,1
obama nation immigrant even native kenyan move america and become president debate,0,-1
obama four year help u debt dug u bigger hole realtalk debate,-1,-1
obama want fix broken immigration system standing line and enforce border patrol imhereivote undocumented,1,-1
obama didnt mention real first thing deport record number illegal immigrant debate,0,-1
blow mind obama still ha people voting howisthispossible,1,-1
hey president obama yoda wa right or not try need progress not excuse townhalldebate cantaffordmore,1,0
last election obama promised change ive seen change lunch michelle,-1,0
obama seems sketchy romney,0,0
president obama may not perfect man world believe really trying make change country,-1,0
romney dont answer question directly tell story instead lettin plan understood,-1,1
rt travesham obama moron suggests triple taxation foreign earnings debate,-1,1
gracietouvelle obama voice anger,1,1
obama perfomance unfocused lie lot fingerpointing amp result,0,-1
obama long pause killing time,-1,-1
obama hair laid right wonder sleep durag,-1,1
change ha last year obama hair color,-1,-1
liked obama response manufacturing question presidentialdebate,0,-1
debate wa replay obama failed policy,-1,-1
christian point view dont totally agree obama stance couple issue,0,-1
job wont come back sum obama presidency,0,0
obama actual answer china question job arent coming back wa honest prescription obvious,1,1
agree obama last statement high wage and higher skilled job,-1,-1
belvdere well obama camp think debate theyre mistaken not offering solution nation problem,-1,-1
discussion china tonight debate reminds u wa obama vp said doesnt second guess onechild policy,1,0
obama nose growing saw debate liar,0,-1
also immigration obama immigration plan let take american job plus cracking illegal immigration smh,1,-1
obama talking like hasnt year thing,0,-1
obama closing believe free enterprise aaaaaaand believe socialism debate,0,-1
reason barak obama initial bo policy stink debate debate repubgrlprobs youngcons fb,1,-1
obama last word point,-1,-1
obama closing statement may best minute campaign boom,1,1
obama ending killllled debate,-1,0
missing obama talk rising export admin export last year wa oil gas and related fuel,0,0
